Target,VulnerabilityID,Package,InstalledVersion,FixedVersion,Severity,Title,PrimaryURL
Java,CVE-2026-54512,com.fasterxml.jackson.core:jackson-databind,2.15.3,"2.18.8, 3.1.4, 2.21.4",HIGH,jackson-databind: jackson-databind: Arbitrary code execution via PolymorphicTypeValidator bypass,https://avd.aquasec.com/nvd/cve-2026-54512
Java,CVE-2026-54513,com.fasterxml.jackson.core:jackson-databind,2.15.3,"2.18.8, 2.21.4, 3.1.4",HIGH,jackson-databind: Jackson-databind: Security bypass allows arbitrary code execution,https://avd.aquasec.com/nvd/cve-2026-54513
Java,CVE-2026-42583,io.netty:netty-codec,4.1.118.Final,4.1.133.Final,HIGH,netty: io.netty/netty-codec-compression: io.netty/netty-codec: Netty: Denial of Service via excessive memory allocation in LZ4FrameDecoder,https://avd.aquasec.com/nvd/cve-2026-42583
Java,CVE-2026-42583,io.netty:netty-codec,4.1.118.Final,4.1.133.Final,HIGH,netty: io.netty/netty-codec-compression: io.netty/netty-codec: Netty: Denial of Service via excessive memory allocation in LZ4FrameDecoder,https://avd.aquasec.com/nvd/cve-2026-42583
Java,CVE-2026-42579,io.netty:netty-codec-dns,4.1.118.Final,"4.2.13.Final, 4.1.133.Final",HIGH,netty: Netty: High integrity impact due to improper DNS domain name constraint enforcement,https://avd.aquasec.com/nvd/cve-2026-42579
Java,CVE-2026-33870,io.netty:netty-codec-http,4.1.118.Final,"4.1.132.Final, 4.2.10.Final",HIGH,io.netty/netty-codec-http: Netty: Request smuggling via incorrect parsing of HTTP/1.1 chunked transfer encoding extension values,https://avd.aquasec.com/nvd/cve-2026-33870
Java,CVE-2026-42584,io.netty:netty-codec-http,4.1.118.Final,"4.2.13.Final, 4.1.133.Final",HIGH,netty: io.netty/netty-codec-http: Netty: Incorrect HTTP response parsing leads to data confusion,https://avd.aquasec.com/nvd/cve-2026-42584
Java,CVE-2026-42587,io.netty:netty-codec-http,4.1.118.Final,"4.2.13.Final, 4.1.133.Final",HIGH,netty: io.netty/netty-codec-http: io.netty/netty-codec-http2: Netty: Denial of Service via unbounded memory allocation in HTTP content decompression,https://avd.aquasec.com/nvd/cve-2026-42587
Java,CVE-2025-55163,io.netty:netty-codec-http2,4.1.118.Final,"4.2.4.Final, 4.1.124.Final",HIGH,netty: netty-codec-http2: Netty MadeYouReset HTTP/2 DDoS Vulnerability,https://avd.aquasec.com/nvd/cve-2025-55163
Java,CVE-2026-33871,io.netty:netty-codec-http2,4.1.118.Final,"4.1.132.Final, 4.2.11.Final",HIGH,netty: Netty: Denial of Service via HTTP/2 CONTINUATION frame flood,https://avd.aquasec.com/nvd/cve-2026-33871
Java,CVE-2026-42587,io.netty:netty-codec-http2,4.1.118.Final,"4.2.13.Final, 4.1.133.Final",HIGH,netty: io.netty/netty-codec-http: io.netty/netty-codec-http2: Netty: Denial of Service via unbounded memory allocation in HTTP content decompression,https://avd.aquasec.com/nvd/cve-2026-42587
Java,CVE-2026-44249,io.netty:netty-handler,4.1.118.Final,"4.2.15.Final, 4.1.135.Final",HIGH,netty-handler: netty-handler: IPv6 subnet rule bypass due to incorrect masking operation,https://avd.aquasec.com/nvd/cve-2026-44249
Java,CVE-2026-44249,io.netty:netty-handler,4.1.118.Final,"4.2.15.Final, 4.1.135.Final",HIGH,netty-handler: netty-handler: IPv6 subnet rule bypass due to incorrect masking operation,https://avd.aquasec.com/nvd/cve-2026-44249
Java,CVE-2026-45416,io.netty:netty-handler,4.1.118.Final,"4.2.15.Final, 4.1.135.Final",HIGH,netty-handler: Netty: Denial of Service due to eager buffer allocation in TLS handshake,https://avd.aquasec.com/nvd/cve-2026-45416
Java,CVE-2026-45416,io.netty:netty-handler,4.1.118.Final,"4.2.15.Final, 4.1.135.Final",HIGH,netty-handler: Netty: Denial of Service due to eager buffer allocation in TLS handshake,https://avd.aquasec.com/nvd/cve-2026-45416
Java,CVE-2026-50010,io.netty:netty-handler,4.1.118.Final,"4.2.15.Final, 4.1.135.Final",HIGH,netty-handler: Netty: Improper trust manager handling leads to hostname verification bypass,https://avd.aquasec.com/nvd/cve-2026-50010
Java,CVE-2026-50010,io.netty:netty-handler,4.1.118.Final,"4.2.15.Final, 4.1.135.Final",HIGH,netty-handler: Netty: Improper trust manager handling leads to hostname verification bypass,https://avd.aquasec.com/nvd/cve-2026-50010
Java,CVE-2026-45674,io.netty:netty-resolver-dns,4.1.118.Final,"4.2.15.Final, 4.1.135.Final",HIGH,netty-resolver-dns: Netty: Information disclosure and data manipulation due to improper CNAME record validation,https://avd.aquasec.com/nvd/cve-2026-45674
Java,CVE-2026-47691,io.netty:netty-resolver-dns,4.1.118.Final,"4.2.15.Final, 4.1.135.Final",HIGH,io.netty/netty-resolver-dns: Netty has Insufficient Bailiwick Validation for NS Records,https://avd.aquasec.com/nvd/cve-2026-47691
Java,CVE-2025-12183,net.jpountz.lz4:lz4,1.3.0,N/A,HIGH,lz4-java: lz4-java: Out-of-bounds memory operations lead to denial of service and information disclosure,https://avd.aquasec.com/nvd/cve-2025-12183
Java,CVE-2025-66566,net.jpountz.lz4:lz4,1.3.0,N/A,HIGH,lz4-java: lz4-java: Information Disclosure via Insufficient Output Buffer Clearing,https://avd.aquasec.com/nvd/cve-2025-66566
Java,CVE-2026-35554,org.apache.kafka:kafka-clients,3.9.1,"3.9.2, 4.0.2, 4.1.2",HIGH,Apache Kafka Clients: Apache Kafka Clients: Information disclosure and data corruption due to race condition in producer buffer management,https://avd.aquasec.com/nvd/cve-2026-35554
Java,CVE-2026-41293,org.apache.tomcat.embed:tomcat-embed-core,9.0.106,"9.0.118, 10.1.55, 11.0.22",CRITICAL,tomcat-coyote: Apache Tomcat: HTTP/2 request headers not validated,https://avd.aquasec.com/nvd/cve-2026-41293
Java,CVE-2026-43512,org.apache.tomcat.embed:tomcat-embed-core,9.0.106,"9.0.118, 10.1.55, 11.0.22",CRITICAL,tomcat-coyote: Apache Tomcat: Authentication bypass via digest authentication,https://avd.aquasec.com/nvd/cve-2026-43512
Java,CVE-2026-43515,org.apache.tomcat.embed:tomcat-embed-core,9.0.106,"9.0.118, 10.1.55, 11.0.22",CRITICAL,tomcat-coyote: tomcat: Improper Authorization allows security bypass,https://avd.aquasec.com/nvd/cve-2026-43515
Java,CVE-2025-48989,org.apache.tomcat.embed:tomcat-embed-core,9.0.106,"11.0.10, 10.1.44, 9.0.108",HIGH,"tomcat: http/2 ""MadeYouReset"" DoS attack through HTTP/2 control frames",https://avd.aquasec.com/nvd/cve-2025-48989
Java,CVE-2025-52520,org.apache.tomcat.embed:tomcat-embed-core,9.0.106,"11.0.9, 10.1.43, 9.0.107",HIGH,tomcat: Apache Tomcat denial of service,https://avd.aquasec.com/nvd/cve-2025-52520
Java,CVE-2025-53506,org.apache.tomcat.embed:tomcat-embed-core,9.0.106,"9.0.107, 10.1.43, 11.0.9",HIGH,tomcat: Apache Tomcat denial of service,https://avd.aquasec.com/nvd/cve-2025-53506
Java,CVE-2025-55752,org.apache.tomcat.embed:tomcat-embed-core,9.0.106,"11.0.11, 10.1.45, 9.0.109",HIGH,tomcat: org.apache.tomcat/tomcat-catalina: Apache Tomcat: Directory traversal via rewrite with possible RCE,https://avd.aquasec.com/nvd/cve-2025-55752
Java,CVE-2026-24734,org.apache.tomcat.embed:tomcat-embed-core,9.0.106,"11.0.18, 10.1.52, 9.0.115",HIGH,tomcat: Apache Tomcat: Certificate revocation bypass due to improper OCSP response validation,https://avd.aquasec.com/nvd/cve-2026-24734
Java,CVE-2026-24880,org.apache.tomcat.embed:tomcat-embed-core,9.0.106,"9.0.116, 10.1.52, 11.0.20",HIGH,Apache Tomcat: Apache Tomcat: HTTP Request/Response Smuggling via invalid chunk extension,https://avd.aquasec.com/nvd/cve-2026-24880
Java,CVE-2026-34483,org.apache.tomcat.embed:tomcat-embed-core,9.0.106,"9.0.116, 10.1.54, 11.0.21",HIGH,Apache Tomcat: Apache Tomcat: Information disclosure due to improper encoding in JsonAccessLogValve,https://avd.aquasec.com/nvd/cve-2026-34483
Java,CVE-2026-41284,org.apache.tomcat.embed:tomcat-embed-core,9.0.106,"9.0.118, 10.1.55, 11.0.22",HIGH,Allocation of Resources Without Limits or Throttling vulnerability in  ...,https://avd.aquasec.com/nvd/cve-2026-41284
Java,CVE-2026-42498,org.apache.tomcat.embed:tomcat-embed-core,9.0.106,"9.0.118, 10.1.55, 11.0.22",HIGH,tomcat-coyote: Apache Tomcat: Information disclosure due to HTTP Authentication Header exposure during WebSocket authentication.,https://avd.aquasec.com/nvd/cve-2026-42498
Java,CVE-2026-43513,org.apache.tomcat.embed:tomcat-embed-core,9.0.106,"9.0.118, 10.1.55, 11.0.22",HIGH,tomcat-catalina: Apache Tomcat: Improper Handling of Case Sensitivity in LockOutRealm,https://avd.aquasec.com/nvd/cve-2026-43513
